matchId,teamId,side,win,firstBlood,firstTower,firstInhibitor,firstDragon,firstBaron,firstHerald,championKills,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
BR1_2859526063,100,blue,False,False,True,False,False,False,True,27,2,0,0,0,2
BR1_2859526063,200,red,True,True,False,True,True,True,False,47,10,2,1,4,0
BR1_2863887747,100,blue,True,False,False,True,False,False,True,43,10,2,1,2,2
BR1_2863887747,200,red,False,True,True,False,True,True,False,34,4,0,1,2,0
BR1_2862180355,100,blue,True,True,False,True,True,False,False,34,9,1,1,0,0
BR1_2862180355,200,red,False,False,True,False,False,True,True,29,2,0,0,3,2
BR1_2864851625,100,blue,True,True,True,True,True,False,True,48,9,1,1,2,2
BR1_2864851625,200,red,False,False,False,False,False,True,False,29,3,0,0,2,0
BR1_2863212684,100,blue,True,False,True,False,True,True,True,29,6,0,1,3,2
BR1_2863212684,200,red,False,True,False,False,False,False,False,16,0,0,0,0,0
BR1_2862052248,100,blue,False,False,False,False,False,True,False,13,1,0,0,2,0
BR1_2862052248,200,red,True,True,True,True,False,False,True,33,9,1,0,1,2
BR1_2859192608,100,blue,True,False,False,True,True,False,False,24,8,1,1,2,1
BR1_2859192608,200,red,False,True,True,False,False,True,True,13,4,0,0,2,1
BR1_2862597998,100,blue,True,False,True,True,True,True,False,33,9,1,1,4,1
BR1_2862597998,200,red,False,True,False,False,False,False,True,15,3,0,0,0,1
BR1_2858892552,100,blue,False,False,False,False,False,False,False,17,4,0,0,0,0
BR1_2858892552,200,red,True,True,True,True,True,True,True,28,10,2,1,3,2
BR1_2865460274,100,blue,False,False,False,False,False,False,True,18,4,0,0,0,1
BR1_2865460274,200,red,True,True,True,True,True,True,False,30,11,3,1,3,1
BR1_2862202727,100,blue,False,False,True,False,False,False,True,18,2,0,0,0,1
BR1_2862202727,200,red,True,True,False,False,True,True,False,35,3,0,1,3,0
BR1_2857294619,100,blue,True,True,True,False,False,True,True,20,3,0,0,2,1
BR1_2857294619,200,red,False,False,False,False,False,False,False,8,0,0,0,0,0
BR1_2865470236,100,blue,True,False,False,True,True,True,False,46,7,1,1,4,1
BR1_2865470236,200,red,False,True,True,False,False,False,True,33,5,0,0,0,1
BR1_2862873992,100,blue,True,True,True,False,False,True,True,17,5,0,0,3,2
BR1_2862873992,200,red,False,False,False,False,False,False,False,7,2,0,0,0,0
BR1_2860432559,100,blue,False,True,True,False,False,False,True,25,6,0,0,2,2
BR1_2860432559,200,red,True,False,False,True,True,True,False,42,8,1,2,3,0
BR1_2861405850,100,blue,False,False,False,False,False,False,False,17,2,0,0,0,0
BR1_2861405850,200,red,True,True,True,True,True,True,True,27,11,3,1,3,2
BR1_2859548544,100,blue,False,True,True,False,False,True,True,46,5,0,1,2,1
BR1_2859548544,200,red,True,False,False,True,True,False,False,46,11,4,3,5,0
BR1_2864634569,100,blue,False,False,True,False,False,True,False,39,6,0,0,2,1
BR1_2864634569,200,red,True,True,False,True,True,False,True,52,10,1,2,2,1
BR1_2863578817,100,blue,True,True,False,False,True,False,False,38,7,1,1,2,0
BR1_2863578817,200,red,False,False,True,True,False,True,True,37,5,1,0,2,2
BR1_2862021929,100,blue,False,True,True,True,False,False,True,48,8,2,1,3,2
BR1_2862021929,200,red,True,False,False,False,True,True,False,45,10,2,1,2,0
BR1_2860363617,100,blue,False,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2860363617,200,red,True,False,False,False,False,False,False,0,0,0,0,0,0
BR1_2861278799,100,blue,True,True,True,True,True,False,True,32,7,1,1,2,2
BR1_2861278799,200,red,False,False,False,False,False,True,False,17,2,0,0,1,0
BR1_2865476913,100,blue,False,False,False,False,False,False,False,6,0,0,0,0,0
BR1_2865476913,200,red,True,True,True,False,False,True,True,16,2,0,0,1,1
