matchId,teamId,ban1,ban2,ban3,ban4,ban5
BR1_2865065229,200,101,268,157,11,59
BR1_2861653018,100,107,28,-1,22,33
BR1_2861653018,200,777,24,157,107,555
BR1_2864365030,100,53,910,104,887,141
BR1_2864365030,200,64,122,53,119,910
BR1_2860049206,100,85,-1,39,61,117
BR1_2860049206,200,55,22,-1,238,114
BR1_2864458758,100,11,777,33,141,119
BR1_2864458758,200,235,28,11,902,-1
BR1_2860264771,100,555,9,33,517,429
BR1_2860264771,200,114,104,350,-1,412
BR1_2854677570,100,104,25,11,110,39
BR1_2854677570,200,238,111,-1,200,85
BR1_2858218810,100,126,122,16,64,30
BR1_2858218810,200,-1,111,92,33,134
BR1_2860044198,100,145,25,-1,35,157
BR1_2860044198,200,238,360,11,122,89
BR1_2863896801,100,104,-1,2,16,-1
BR1_2863896801,200,777,84,412,236,107
BR1_2865466978,100,22,157,555,246,120
BR1_2865466978,200,107,141,24,30,51
BR1_2864561140,100,517,107,111,555,38
BR1_2864561140,200,245,-1,55,61,63
BR1_2855294997,100,-1,897,154,-1,25
BR1_2855294997,200,59,412,56,107,119
BR1_2859438604,100,145,24,143,64,30
BR1_2859438604,200,62,81,8,-1,910
BR1_2863228050,100,555,897,59,64,111
BR1_2863228050,200,141,84,497,68,29
BR1_2857491598,100,-1,25,266,-1,28
BR1_2857491598,200,24,897,58,84,28
BR1_2862076470,100,16,122,24,9,7
BR1_2862076470,200,429,114,157,81,75
BR1_2864780127,100,30,24,497,141,145
BR1_2864780127,200,200,23,92,-1,111
BR1_2865499704,100,54,777,33,910,64
BR1_2865499704,200,64,84,25,157,114
BR1_2863211430,100,111,84,7,11,157
BR1_2863211430,200,910,84,58,141,200
BR1_2863452370,100,110,84,107,526,114
BR1_2863452370,200,-1,64,266,119,55
BR1_2861933979,100,163,111,39,24,22
BR1_2861933979,200,38,200,119,111,85
BR1_2865093575,100,420,555,107,7,-1
BR1_2865093575,200,30,64,238,40,887
BR1_2859834205,100,110,30,61,39,38
BR1_2859834205,200,55,107,910,888,39
BR1_2860295272,100,240,24,38,28,107
BR1_2860295272,200,-1,8,64,54,777
BR1_2865076854,100,99,111,64,-1,84
BR1_2865076854,200,111,777,235,-1,68
BR1_2864533538,100,114,517,11,141,200
BR1_2864533538,200,99,245,-1,111,30
BR1_2863269575,100,107,133,67,80,24
BR1_2863269575,200,111,68,-1,110,84
BR1_2857965373,100,-1,107,526,166,24
BR1_2857965373,200,555,55,61,114,-1
BR1_2865539714,100,24,711,555,11,-1
BR1_2865539714,200,20,67,555,107,166
