puuid,summonerId,summonerName,riotIdGameName,riotIdTagline
sDGXw9oVhaygCqGK73n6qYbvGFsZj4KNID8eYuJjramVouluhwC71g09N_cOqLuTi3wgn3gD1ohUgA,kdi198ejiX34OVNegv6pdQN5E_bJeCAKlI_FF1FoCleyJQ,biielsaantos,biielsaantos,BR1
banNZ600zdlaeNf5C5iMPVCc4sTEXNp_xQxjmW2v-TotBKzwO0On-oCuZm5UKsqLieV5l4Jjo3aWyw,c6MwV6SyZ0MMmyaOmZfQ296gXdsLkQPK0G_ak0XwbYJHCvg,RickDreamer,Rick,373
uObYmC10P_7eQOikV5Y45Sk1u4NFVmwJG4ncCJN-hRVyeXsZ8HQUKMtV2LGDgjhw7q5lut1yfkGfzg,mA1sZYETDotKZjaTbDbt99bPWutvnVTT_F0M9vdKc_0D9g,vysion,vysion,1308
c5S2k0egeBurjD7vgs-vBlYTiGcXsQQm8vOuVnmlbMYz4ixo1SPhbtKQAUWvjB7G4oVsepnH483m3w,c20i6RcL7xI4UI1mdpR_jnRkxM3eTKf8trny6gCt76EnPg,mkag3,mkag3,BR1
yNYuLC_og11uuzG1kQoKMzV-jFqiweIWfQHImb_So1SSXIlQTMVWDVbXc2YOFQ-F58IuVV58o_h-qw,jpywL7pNLwEF-45S39-nmtYIAH3BpA6TdSa7WaI8Fo7CLaXWrx1V2cEVhA,Pipo 9 ,Pipo,eee
a2-7d4aRBcJjPl91laAJHgRvUGIJFTvxonBsD1VRkUJ7DyaA53E0RYSZFG4G0FCRYAxHe58i2httrA,nVQQV0aSPHS3tBziUXNw-RYrhFwUfcUuE0MSncYcYXO02pc,Goat Kaiser,Kaiser,Top
V2kGJ4PixqJIpIwtFpvikr71C6DrTxZW2joT6dHcBrNxfsujdvxzKeuxdE50358r42iqYooePU2nWA,fVypqer2gA29NUr_c8TyNWPysf1Ke8vzO4mkQlXL8r0lBg,Pepe,Pepe,Kha1
RxSMtBqWVf_RPWlWx0rkAf7DeMy0nezPrRgq-bYVtQu5cSDp0ZcEKi7hId7GAxapYFAFmFjrH9Sutw,m0KXOaVk4xwR454HMnfDQa4W0UA1a9wxI0zDzFZSwlPKHA,II Dantz II,Dantz,00001
jV3Vh3uy_WjKJlpUJ1gElFfXb28Gr3jLn9K5fqbgAnrJ_CWKdErfTT8YLNROXxPj1XFSLJOU_bCLmQ,5aipva19d2L69CSUwtQzzajmc1rVMvoShRzmrvh9TiwDwQ,uty,uty,001
kaCmpHDbJR-UUirjjuoE1pUnYaKvN4A_gZqTuIQNTR2vmvvVp8lTCy37avCAawCwVyD_bO95njZ8Lg,DeuZz-4Yr_h7gPDFLf2d4958TkOlNJjJFi_07hqdNz4ig7g,my vic ,my vic,vic
